CONTEXT,TOPIC
"In 2013, one artist had their name legally changed to American Artist. “I was very interested in reframing the definition of an American artist,” that artist, who uses the last name Artist and prefers they/them pronouns, said. “If I make that my name, now I am it.” Completing the name change involved visiting a California court, publishing an official notice in a newspaper (“I chose the cheapest one,” they said), and setting up a hearing. No officials raised any objections.
Artist was messing with the stereotypes that attach to the phrase “American artist,” which calls to mind, for some, famous white men living in New York during the postwar era, like Jasper Johns and Andy Warhol. What would it mean for a black individual, like Artist, to adopt the title? Recalling the name-change process recently, Artist said, with a laugh, “I am American Artist now, so I guess that’s what an American artist is.”
Though their name-change isn’t a work per se, it is an example of Artist’s sly, slippery practice, which has taken the form of digital works, videos, and sculptures that take on the shifting nature of identity in the internet age. (It’s worth noting that Googling American Artist is a Sisyphean task.) Often, Artist draws out connections between systemic forms of racism and new technological developments—one body of work, for example, addressed the whiteness of new products put out by Silicon Valley by simultaneously thinking through the look of iPhones and the racial demographics of technology companies. “I’ve started to think about anti-blackness as being sort of algorithmic, in that it’s embedded in the firmware of American society,” they said. “It’s a constantly reproducing and evolving thing, and it’s always doing what it’s supposed to do.”
",ARTs
"Using electrodes and artificial intelligence, scientists in California have built a device that can translate brain signals into speech. They say their experimental decoder could lead ultimately to a brain implant that restores the ability to speak to people who have lost it as a result of stroke, traumatic brain injury or neurological diseases like multiple sclerosis and Parkinson’s disease.
“This is an exhilarating proof of principle that with technology that is already within reach, we should be able to build a device that is clinically viable in patients with speech loss,” Edward Chang, a professor of neurological surgery at the University of California, San Francisco, and the senior author of a paper describing the technology, said in a statement.

For their research, Chang and his collaborators recorded the brain activity of five epilepsy patients (who already had brain implants as part of their treatment) as they read aloud a list of sentences. Then a pair of neural networks — artificial intelligence algorithms specially designed for pattern recognition — began the decoding process. They first used the brain signals to predict the instructions being sent to the lips, tongue, jaw and throat to produce the words. The second turned the predicted movements into synthesized speech produced by a computer.
",Tech
"Officials in the California city where police fatally shot a young rapper inside his car in February are now asking the Department of Justice to step in and help improve relations between officers and the public.
""Having strength is knowing when to ask for help and that time is now,"" Vallejo Mayor Bob Sampayan said in a statement Friday. ""I welcome the wisdom and insights of the DOJ Community Relations Service to improve our police department and assist in elevating the level of community engagement with our residents.""

The call for federal intervention comes after a tense City Council meeting this week that focused on issues of policing, particularly within the city's minority community, and a report this month by NBC News that highlighted complaints of alleged aggressive policing and the police-involved shooting of black rapper Willie McCoy as the 16th death involving Vallejo police officers since 2011.
The majority of those killed by the police in Vallejo have been black and Latino men, police records show. The Bay Area city, with a population of 122,000, remains evenly divided among white, black, Latino and Asian residents.
In San Francisco, with a population more than seven times Vallejo's, the police department has been involved in 22 fatal shootings since 2011.



",Politics
"“It seems if there was a time that industrial production and GDP would match up well it would be at time when there’s a relatively large inventory build,” he said. “When you unwind inventory, you would expect to see production slow.”
LaVorgna is forecasting 1% for first quarter GDP growth, reported April 26, but he said it could be even closer to flat. He added economists’ consensus forecast is 2%.

“To me the production data suggests there’s may more downside risk to Q1 than people currently believe,” he said.
Goldman Sachs economists said they were upping their first quarter tracking forecast to 1.7% because they had been expecting even weaker industrial production.
“We still expect real GDP output in the first quarter to hit 1.5%, but much of the increase will come from a temporary build-up of inventories rather than factories producing more goods,” noted Chris Rupkey, chief economist at MUFG.
",Economics
"The second round of the postseason has brought a new level of basketball. On the bottom half of the Eastern Conference bracket, the Brooklyn Nets and Orlando Magic are gone, leaving two teams playing at a much higher level.
And in Game 1 of the Eastern Conference semifinals series between the Toronto Raptors and the Philadelphia 76ers, none of the Sixers' stars could come close to matching the level of basketball played by Kawhi Leonard, who led the Raptors to a 108-95 victory with a dominant, 45-point performance on Saturday.
Leonard had more field goal attempts (23) than passes (19). And with 11 free throw attempts added in, there's no doubt that he was calling his own number most of the night. But when a guy shoots 16-for-23 from the field and 10-for-11 from the line, the only objection can come from the opponent.
""I don't think we showed enough help,"" said Sixers guard Ben Simmons.
",Sports
"“Lauren McKeon: Let go or be dragged” is on view at Interface in Oakland, California, through May 19. The solo exhibition, the title of which is a mantra, is the artist’s second with the gallery and presents a series of new work. As part of the show, artist Ross Simonini, who also collaborated on the below text with McKeon, will stage a performance on May 12 billed as an epilogue; Simonini will present “a new iteration of his Quartering performances, in which participating bodies map themselves using all four limbs,” per a release.
",Art
"Apple is facing further scrutiny over whether it's using its hold on the App Store to hurt competitors' products.
A Saturday report in The New York Times says that in the past year, Apple has targeted 11 of the 17 most downloaded third-party apps designed to help phone users limit screen time or oversee their children's phone use. Apple either removed the apps from the App Store outright or restricted them in some way, the Times says.
The iPhone maker introduced its own screen-time and parental-controls features last June, when it unveiled iOS 12, the most recent major update to Apple's mobile operating system. On Friday, CEO Tim Cook discussed screen addiction at the Time 100 Summit in New York.
The Times report says the makers of two of the App Store's most popular parental control apps filed a complaint Thursday with the European Union's competition office, with one saying Apple compelled it to alter its app in ways that made it less effective than Apple's parental controls.
",Technology
"President Donald Trump said on Saturday night that the United States is now sending undocumented migrants to sanctuary cities.
""Now we're sending many of them to sanctuary cities, thank you very much,"" he told a crowd in Green Bay, Wisconsin. ""They ain't too happy about it. I'm proud to tell you that was actually my sick idea.""
On Friday in a speech to the National Rifle Association, he said the US is ""forced to release"" undocumented migrants into the country and that ""we give them (sanctuary cities) as many as they can handle.""
The Department of Homeland Security has not announced it is sending migrants to sanctuary cities.

The administration initially denied that the plan was under active consideration. After reports surfaced in the press where DHS officials said the plan had been scrapped, the President tweeted saying he was considering it.
",Politics
"The U.S. economy grew at a faster pace than expected in the first quarter and posted its best growth to start a year in four years.
First-quarter gross domestic product expanded by 3.2%, the Bureau of Economic Analysis said Friday in its initial read of the economy for that period. Economists polled by Dow Jones expected growth of 2.5%. It was the first time since 2015 that first-quarter GDP topped 3%.

“The upside beat was helped by net trade (exports jumped while imports contracted sharply) and inventories which combined contributed almost 170 bps of the rise,” wrote Peter Boockvar, chief investment officer at Bleakley Advisory Group. “Personal spending though, the biggest component was up just 1.2%, two tenths more than expected as an increase in spending on services and nondurable goods offset a decline in spending on durable goods.”
",Economics
"The draw kept Corinthians on top of the Brazilian league with 50 points, five in front of Atletico Mineiro, while Gremio are six back, with Sao Paulo the next-best club, 12 off the lead.
Palmeiras, playing at home, got goals from Lucas, Robinho and Dudu. Vagner Love scored the equaliser in the 78th minute for Corinthians with Guilherme Arana also scoring. Palmeiras also contributed an own goal by Amaral.
""Playing away from home, it's important to get some points,"" Love said. ""It was good we earned a point.""
Meanwhile, there was another intense local derby a little further north being played in front of 55,000 raucous fans at the Maracana in Rio de Janeiro, where Flamengo trampled arch-rivals Fluminense 3-1 in the Fla-Flu derby game. Paulinho, Emerson and Kayke scored for Flamengo with Fluminense's only goal coming from Jean penalty kick.
Flamengo trail leaders Corinthians by 15 points, the same margin as Palmeiras, and have now won four straight, the best such return in Brazil.
In other results on Sunday it was: Cruzeiro 5-1 Figueirense; Chapecoense 0-0 Ponte Preta; Gremio 2-1 Goias; Avai 0-2 Coritiba; Sport 1-1 Santos.
",Sports
